6.135844887467101216e-05,-2.085863426327705383e-02,1.038427114486694336e+00,5.454148165881633759e-03,2.762866020202636719e-02,6.653802990913391113e-01,7.459731698036193848e-01,2.672020811587572098e-03,2.403881400823593140e-01,2.719620466232299805e-01,5.395657196640968323e-02,-1.631038486957550049e-01,-6.117955222725868225e-02,9.431662037968635559e-03,-4.101868569850921631e-01,-3.407741785049438477e-01,7.668192684650421143e-02,5.353714525699615479e-02,2.617979347705841064e-01,1.057548150420188904e-01,-9.072307497262954712e-02,-4.885754361748695374e-02,-8.846690654754638672e-01,1.642640233039855957e-01,-1.083757400512695312e+00,-4.177474230527877808e-02,-3.713127672672271729e-01,-2.870447039604187012e-01,-2.194629162549972534e-01,-9.796839356422424316e-01,-3.501083254814147949e-01,9.741014242172241211e-01,-9.763509780168533325e-02,3.285121917724609375e-01,-1.628846228122711182e-01,1.648777276277542114e-01
-3.560522105544805527e-03,-2.734131552278995514e-02,1.038717985153198242e+00,5.787575617432594299e-03,2.300326153635978699e-02,6.635575294494628906e-01,7.477490901947021484e-01,2.442439552396535873e-03,2.440241277217864990e-01,2.793529331684112549e-01,5.597497522830963135e-02,-1.672993302345275879e-01,-6.934263557195663452e-02,2.575744874775409698e-03,-4.061772525310516357e-01,-3.495776355266571045e-01,8.128117024898529053e-02,6.746052205562591553e-02,2.617999911308288574e-01,9.000374376773834229e-02,-9.262757003307342529e-02,-1.304951868951320648e-02,-8.810435533523559570e-01,1.944023370742797852e-01,-1.105980396270751953e+00,2.415737882256507874e-02,-3.506288230419158936e-01,-2.881599068641662598e-01,-2.379063069820404053e-01,-9.623350501060485840e-01,-4.062897562980651855e-01,9.753450751304626465e-01,-9.709486365318298340e-02,3.365095555782318115e-01,-1.774515211582183838e-01,1.735563278198242188e-01
-5.178532563149929047e-03,-3.243771567940711975e-02,1.039355754852294922e+00,4.957514349371194839e-03,1.902004890143871307e-02,6.609219908714294434e-01,7.501971721649169922e-01,1.260373042896389961e-03,2.516318261623382568e-01,2.793281674385070801e-01,5.827574431896209717e-02,-1.631727963685989380e-01,-7.796466350555419922e-02,-8.315298706293106079e-03,-3.995201885700225830e-01,-3.515249788761138916e-01,9.026131033897399902e-02,7.879360020160675049e-02,2.617999911308288574e-01,6.858423352241516113e-02,-9.167695045471191406e-02,1.435654982924461365e-02,-8.481391072273254395e-01,2.344413250684738159e-01,-1.108878135681152344e+00,9.980229288339614868e-02,-3.285500407218933105e-01,-2.811042666435241699e-01,-2.332328706979751587e-01,-9.081218242645263672e-01,-4.693927168846130371e-01,9.697975516319274902e-01,-1.010959595441818237e-01,3.604366183280944824e-01,-1.803536266088485718e-01,1.723981499671936035e-01
-7.267770823091268539e-03,-3.740773722529411316e-02,1.039901137351989746e+00,5.309692118316888809e-03,1.719937659800052643e-02,6.571790575981140137e-01,7.535195350646972656e-01,3.973084385506808758e-04,2.537454068660736084e-01,2.863530218601226807e-01,6.024412438273429871e-02,-1.601589471101760864e-01,-8.092552423477172852e-02,-2.624450251460075378e-02,-4.056980013847351074e-01,-3.563231229782104492e-01,1.081071197986602783e-01,8.345477283000946045e-02,2.617999911308288574e-01,3.950669988989830017e-02,-8.954629302024841309e-02,4.514658823609352112e-02,-8.074235916137695312e-01,2.852044999599456787e-01,-1.105983853340148926e+00,1.683721095323562622e-01,-2.944650352001190186e-01,-2.794566154479980469e-01,-2.223610430955886841e-01,-8.479831814765930176e-01,-5.447635054588317871e-01,9.691537022590637207e-01,-1.115472763776779175e-01,3.749610781669616699e-01,-1.826079338788986206e-01,1.857568323612213135e-01
-7.147292606532573700e-03,-3.910704329609870911e-02,1.040752887725830078e+00,5.304643418639898300e-03,1.714096404612064362e-02,6.540359854698181152e-01,7.562505602836608887e-01,-3.827017790172249079e-04,2.569875121116638184e-01,2.944352328777313232e-01,6.363424658775329590e-02,-1.523573398590087891e-01,-8.377137035131454468e-02,-4.712719097733497620e-02,-4.250425696372985840e-01,-3.729012310504913330e-01,1.379644870758056641e-01,8.386874198913574219e-02,2.617999911308288574e-01,1.129720266908407211e-02,-8.582504838705062866e-02,7.918705046176910400e-02,-7.670193910598754883e-01,3.350163698196411133e-01,-1.082059741020202637e+00,2.265757322311401367e-01,-2.512086629867553711e-01,-2.870283126831054688e-01,-2.040458321571350098e-01,-7.705109119415283203e-01,-6.193409562110900879e-01,9.390932917594909668e-01,-1.232837438583374023e-01,3.842168450355529785e-01,-1.897488534450531006e-01,1.791766583919525146e-01
-9.654931724071502686e-03,-3.556982427835464478e-02,1.042493462562561035e+00,1.582371653057634830e-03,1.683447696268558502e-02,6.448194980621337891e-01,7.641478180885314941e-01,6.506597157567739487e-03,2.650121748447418213e-01,3.116914927959442139e-01,6.958299875259399414e-02,-1.573709696531295776e-01,-8.618765324354171753e-02,-7.334361970424652100e-02,-4.449281096458435059e-01,-3.921040594577789307e-01,1.889739483594894409e-01,7.492316514253616333e-02,2.374005317687988281e-01,-2.712653577327728271e-02,-7.008810341358184814e-02,1.191487908363342285e-01,-7.102071642875671387e-01,4.124941527843475342e-01,-1.045065164566040039e+00,2.879559695720672607e-01,-1.906336992979049683e-01,-2.849187552928924561e-01,-2.055806964635848999e-01,-6.612693071365356445e-01,-7.125719189643859863e-01,8.968596458435058594e-01,-9.408135712146759033e-02,3.481736779212951660e-01,-1.942770481109619141e-01,1.907433718442916870e-01
-7.213669363409280777e-03,-2.991953492164611816e-02,1.044236421585083008e+00,-2.745825797319412231e-03,1.819580607116222382e-02,6.372235417366027832e-01,7.704592943191528320e-01,1.249719969928264618e-02,2.772991657257080078e-01,3.255215287208557129e-01,7.423259317874908447e-02,-1.526179462671279907e-01,-9.399047493934631348e-02,-1.069689616560935974e-01,-4.534903168678283691e-01,-3.964513838291168213e-01,2.517666518688201904e-01,7.159383594989776611e-02,2.165517359972000122e-01,-6.735211610794067383e-02,-4.421899840235710144e-02,1.605596840381622314e-01,-6.360731720924377441e-01,4.940675199031829834e-01,-9.897897839546203613e-01,3.431715369224548340e-01,-1.409587115049362183e-01,-2.805146574974060059e-01,-2.160338908433914185e-01,-5.185725092887878418e-01,-7.960741519927978516e-01,8.279324173927307129e-01,-3.869971632957458496e-02,3.135331273078918457e-01,-1.908591985702514648e-01,2.202088534832000732e-01
-3.757450729608535767e-03,-2.067621238529682159e-02,1.045817732810974121e+00,-7.259866688400506973e-03,2.075714804232120514e-02,6.316919922828674316e-01,7.749075293540954590e-01,2.383091859519481659e-02,2.872818112373352051e-01,3.460458517074584961e-01,7.113260775804519653e-02,-1.457875818014144897e-01,-1.129067018628120422e-01,-1.496845632791519165e-01,-4.619731903076171875e-01,-4.172723591327667236e-01,3.353467583656311035e-01,4.131628572940826416e-02,1.850581914186477661e-01,-1.243602931499481201e-01,-1.775624579750001431e-03,1.967728137969970703e-01,-5.241090059280395508e-01,5.841603875160217285e-01,-9.003931283950805664e-01,3.903250694274902344e-01,-1.156966015696525574e-01,-2.611598968505859375e-01,-2.341090440750122070e-01,-3.213127553462982178e-01,-8.555828928947448730e-01,7.353880405426025391e-01,6.918028742074966431e-02,2.697050273418426514e-01,-1.764343827962875366e-01,2.697002291679382324e-01
3.050840925425291061e-03,-1.657691970467567444e-02,1.046213865280151367e+00,-1.062485203146934509e-02,2.423222176730632782e-02,6.234946846961975098e-01,7.813797593116760254e-01,3.139322251081466675e-02,3.007945716381072998e-01,3.709628283977508545e-01,6.876071542501449585e-02,-1.355659514665603638e-01,-1.277527809143066406e-01,-1.825725585222244263e-01,-4.857291579246520996e-01,-4.512035846710205078e-01,4.002701640129089355e-01,1.422613766044378281e-02,1.573377102613449097e-01,-1.603893339633941650e-01,3.431694582104682922e-02,2.285832911729812622e-01,-4.392977952957153320e-01,6.431556344032287598e-01,-8.422569036483764648e-01,4.071047306060791016e-01,-9.370318055152893066e-02,-2.515850961208343506e-01,-2.509700357913970947e-01,-2.007986456155776978e-01,-8.914188146591186523e-01,6.582252979278564453e-01,1.574168056249618530e-01,2.144577354192733765e-01,-1.716056764125823975e-01,2.910350561141967773e-01
1.427936274558305740e-02,-1.322933193296194077e-02,1.045146942138671875e+00,-1.292294729501008987e-02,2.863644249737262726e-02,6.146618723869323730e-01,7.881647944450378418e-01,4.118906334042549133e-02,3.177413344383239746e-01,4.003814458847045898e-01,6.574094295501708984e-02,-1.250604987144470215e-01,-1.469587236642837524e-01,-2.106660753488540649e-01,-5.128365755081176758e-01,-4.895004630088806152e-01,4.550480246543884277e-01,-1.456702314317226410e-02,1.325679570436477661e-01,-1.890313923358917236e-01,6.888796389102935791e-02,2.527445554733276367e-01,-3.754838705062866211e-01,6.808980703353881836e-01,-7.948336601257324219e-01,4.133163094520568848e-01,-7.239657640457153320e-02,-2.466820776462554932e-01,-2.651174664497375488e-01,-1.179615259170532227e-01,-9.135305285453796387e-01,5.949842929840087891e-01,2.273574322462081909e-01,1.675533056259155273e-01,-1.674399524927139282e-01,2.966848313808441162e-01
